City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vila Velha,BR,2020-08-30 16:24:28,-20.33,-40.29,80.01,88,40,9.17,scattered clouds
1,East London,ZA,2020-08-30 16:32:02,-33.02,27.91,55.4,47,31,14.99,scattered clouds
2,Klaksvik,FO,2020-08-30 16:32:03,62.23,-6.59,51.8,93,95,8.05,overcast clouds
3,Imeni Poliny Osipenko,RU,2020-08-30 16:24:29,52.42,136.49,46.33,84,1,3.87,clear sky
4,Rikitea,PF,2020-08-30 16:32:03,-23.12,-134.97,69.31,83,65,19.89,light rain
5,Bethel,US,2020-08-30 16:32:03,41.37,-73.41,72.0,50,19,1.01,few clouds
6,Chokurdakh,RU,2020-08-30 16:32:03,70.63,147.92,41.9,80,100,6.85,overcast clouds
7,Zambezi,ZM,2020-08-30 16:24:29,-13.54,23.1,78.28,48,73,1.01,broken clouds
8,Belen,TR,2020-08-30 16:24:29,36.49,36.22,91.4,46,0,12.75,clear sky
9,Waingapu,ID,2020-08-30 16:24:30,-9.66,120.26,74.57,79,78,12.53,broken clouds
10,Hobart,AU,2020-08-30 16:31:29,-42.88,147.33,46.0,75,75,13.87,light intensity shower rain
11,Busselton,AU,2020-08-30 16:32:04,-33.65,115.33,43.0,68,0,4.36,clear sky
12,Fortuna,US,2020-08-30 16:24:30,40.6,-124.16,57.99,87,1,3.36,clear sky
13,Oktyabrskoye,RU,2020-08-30 16:24:30,43.06,44.74,73.0,72,20,6.71,few clouds
14,Kodiak,US,2020-08-30 16:29:49,57.79,-152.41,48.2,87,20,3.36,few clouds
15,Narsaq,GL,2020-08-30 16:24:31,60.92,-46.05,51.8,66,99,8.05,light rain
16,Hilo,US,2020-08-30 16:30:14,19.73,-155.09,71.6,83,75,3.36,broken clouds
17,Carnarvon,AU,2020-08-30 16:32:05,-24.87,113.63,64.4,88,0,12.75,clear sky
18,Winnemucca,US,2020-08-30 16:20:17,40.97,-117.74,71.6,14,1,12.75,clear sky
19,Tuktoyaktuk,CA,2020-08-30 16:32:05,69.45,-133.04,41.0,93,75,13.87,mist
20,Ushuaia,AR,2020-08-30 16:32:05,-54.8,-68.3,28.4,86,75,26.4,snow
21,Ancud,CL,2020-08-30 16:32:05,-41.87,-73.82,52.0,97,63,7.0,broken clouds
22,Tiksi,RU,2020-08-30 16:32:06,71.69,128.87,41.92,88,1,6.96,clear sky
23,Punta Arenas,CL,2020-08-30 16:30:16,-53.15,-70.92,35.6,43,75,16.11,broken clouds
24,Vaini,TO,2020-08-30 16:32:06,-21.2,-175.2,75.2,94,75,10.29,broken clouds
25,Talnakh,RU,2020-08-30 16:24:32,69.49,88.4,48.2,100,90,13.42,fog
26,Mar Del Plata,AR,2020-08-30 16:32:06,-38.0,-57.56,57.2,28,0,19.46,clear sky
27,Mataura,NZ,2020-08-30 16:32:06,-46.19,168.86,49.06,62,37,8.93,scattered clouds
28,Biak,ID,2020-08-30 16:32:07,-0.91,122.88,77.5,76,91,7.72,overcast clouds
29,Bellavista,PE,2020-08-30 16:24:32,-7.06,-76.59,91.4,52,20,4.7,few clouds
30,Albany,US,2020-08-30 16:32:07,42.6,-73.97,71.01,49,24,3.0,few clouds
31,Upernavik,GL,2020-08-30 16:24:32,72.79,-56.15,42.51,73,12,6.8,few clouds
32,Puerto Colombia,CO,2020-08-30 16:24:33,10.99,-74.95,84.2,79,40,5.82,scattered clouds
33,Ogulin,HR,2020-08-30 16:24:33,45.27,15.23,81.0,69,75,14.99,thunderstorm
34,Huilong,CN,2020-08-30 16:24:33,31.81,121.66,82.99,93,0,1.01,clear sky
35,Bengkulu,ID,2020-08-30 16:32:07,-3.8,102.27,77.27,83,99,4.41,overcast clouds
36,Morgantown,US,2020-08-30 16:23:46,39.63,-79.96,71.6,53,40,4.7,scattered clouds
37,Pozo Colorado,PY,2020-08-30 16:24:33,-23.49,-58.8,81.32,57,80,9.89,broken clouds
38,Katsuura,JP,2020-08-30 16:32:08,35.13,140.3,82.0,90,11,2.57,few clouds
39,Pinega,RU,2020-08-30 16:24:34,64.7,43.39,51.69,92,100,7.23,overcast clouds
40,Deputatskiy,RU,2020-08-30 16:24:34,69.3,139.9,28.63,99,1,2.64,clear sky
41,Bambous Virieux,MU,2020-08-30 16:32:08,-20.34,57.76,72.0,78,40,16.11,shower rain
42,Rawson,AR,2020-08-30 16:24:34,-43.3,-65.1,54.9,41,0,15.5,clear sky
43,Oktyabrskiy,RU,2020-08-30 16:32:08,54.48,53.47,59.34,86,76,4.18,broken clouds
44,Labuhan,ID,2020-08-30 16:32:09,-6.88,112.21,77.25,78,43,7.85,scattered clouds
45,Norman Wells,CA,2020-08-30 16:32:09,65.28,-126.83,50.0,61,75,14.99,broken clouds
46,Izhma,RU,2020-08-30 16:21:04,65.01,53.91,53.8,97,100,4.99,overcast clouds
47,Shatsk,RU,2020-08-30 16:20:04,54.03,41.71,68.61,66,41,9.8,scattered clouds
48,La Palma,US,2020-08-30 16:24:35,33.85,-118.05,69.01,72,90,4.56,overcast clouds
49,Tukrah,LY,2020-08-30 16:24:35,32.53,20.58,82.18,55,0,15.66,clear sky
50,Codrington,AU,2020-08-30 16:22:39,-38.27,141.97,47.86,71,49,13.87,scattered clouds
51,Udachnyy,RU,2020-08-30 16:21:55,66.42,112.4,50.0,57,90,5.93,haze
52,Quatre Cocos,MU,2020-08-30 16:24:36,-20.21,57.76,72.0,78,40,16.11,shower rain
53,Flinders,AU,2020-08-30 16:32:10,-34.58,150.86,66.0,78,51,1.01,broken clouds
54,Provideniya,RU,2020-08-30 16:32:10,64.38,-173.3,45.68,76,37,20.8,scattered clouds
55,Kilrush,IE,2020-08-30 16:24:37,52.64,-9.48,60.8,55,75,2.24,broken clouds
56,Sao Joao Da Barra,BR,2020-08-30 16:32:11,-21.64,-41.05,86.0,48,20,16.11,few clouds
57,Lebu,CL,2020-08-30 16:30:42,-37.62,-73.65,50.04,64,0,21.39,clear sky
58,Dikson,RU,2020-08-30 16:32:11,73.51,80.55,41.38,96,100,17.56,light rain
59,Nikolskoye,RU,2020-08-30 16:32:11,59.7,30.79,64.4,72,90,4.47,overcast clouds
60,Lewiston,US,2020-08-30 16:24:37,44.1,-70.21,69.01,55,20,16.11,few clouds
61,Yellowknife,CA,2020-08-30 16:32:11,62.46,-114.35,48.2,66,20,17.22,few clouds
62,La Sarre,CA,2020-08-30 16:24:37,48.8,-79.2,58.03,60,25,8.72,scattered clouds
63,Kapaa,US,2020-08-30 16:32:12,22.08,-159.32,78.8,74,20,17.22,few clouds
64,Puerto Rondon,CO,2020-08-30 16:24:38,6.28,-71.1,86.74,65,91,3.47,overcast clouds
65,Atuona,PF,2020-08-30 16:32:12,-9.8,-139.03,78.24,81,39,25.61,light rain
66,Saint-Joseph,RE,2020-08-30 16:24:38,-21.37,55.62,71.6,73,13,10.29,few clouds
67,Geraldton,AU,2020-08-30 16:24:38,-28.77,114.6,46.4,87,0,4.7,clear sky
68,Mount Isa,AU,2020-08-30 16:32:12,-20.73,139.5,73.4,38,0,9.17,clear sky
69,Wanning,CN,2020-08-30 16:24:39,18.8,110.4,80.2,79,84,1.7,broken clouds
70,Tasiilaq,GL,2020-08-30 16:32:13,65.61,-37.64,50.0,61,100,2.24,overcast clouds
71,Kruisfontein,ZA,2020-08-30 16:32:13,-34.0,24.73,53.01,71,97,1.99,overcast clouds
72,Opelousas,US,2020-08-30 16:24:39,30.53,-92.08,87.01,74,40,4.99,scattered clouds
73,Jamestown,US,2020-08-30 16:32:13,42.1,-79.24,66.99,72,90,8.05,overcast clouds
74,Cidreira,BR,2020-08-30 16:32:13,-30.18,-50.21,58.26,93,100,13.76,overcast clouds
75,Bredasdorp,ZA,2020-08-30 16:32:14,-34.53,20.04,53.6,58,53,6.93,broken clouds
76,Puerto Ayora,EC,2020-08-30 16:31:08,-0.74,-90.35,71.6,64,75,16.11,broken clouds
77,Sitka,US,2020-08-30 16:24:40,57.05,-135.33,51.8,87,90,5.82,light rain
78,Zyryanka,RU,2020-08-30 16:24:40,65.75,150.85,39.99,72,0,3.85,clear sky
79,Iqaluit,CA,2020-08-30 16:32:14,63.75,-68.51,50.0,66,20,3.36,few clouds
80,Yelan-Kolenovskiy,RU,2020-08-30 16:24:40,51.16,41.15,72.9,46,0,2.04,clear sky
81,Sorland,NO,2020-08-30 16:24:40,67.67,12.69,48.2,66,40,8.05,scattered clouds
82,Trinidad,BO,2020-08-30 16:24:41,-14.83,-64.9,91.4,52,49,9.17,smoke
83,Axim,GH,2020-08-30 16:24:41,4.87,-2.24,78.26,73,85,10.83,overcast clouds
84,Caucasia,CO,2020-08-30 16:24:41,7.99,-75.19,82.35,82,58,1.43,moderate rain
85,Rimouski,CA,2020-08-30 16:24:41,48.45,-68.52,48.2,100,90,27.51,light rain
86,Butaritari,KI,2020-08-30 16:32:15,3.07,172.79,82.54,73,44,12.3,scattered clouds
87,Saint-Philippe,RE,2020-08-30 16:32:15,-21.36,55.77,71.6,73,27,10.29,light rain
88,Port Elizabeth,ZA,2020-08-30 16:32:15,-33.92,25.57,51.8,76,40,12.75,scattered clouds
89,Saint George,US,2020-08-30 16:31:28,37.1,-113.58,84.99,32,1,3.62,clear sky
90,Ribeira Grande,PT,2020-08-30 16:32:15,38.52,-28.7,78.8,88,40,10.29,scattered clouds
91,Khovu-Aksy,RU,2020-08-30 16:24:42,51.13,93.6,47.25,77,25,2.57,scattered clouds
92,Distraccion,CO,2020-08-30 16:24:42,10.9,-72.89,82.4,74,75,3.36,broken clouds
93,Elizabeth City,US,2020-08-30 16:24:42,36.29,-76.25,86.0,48,1,8.05,clear sky
94,Torbay,CA,2020-08-30 16:32:16,47.67,-52.73,66.0,100,90,19.46,light rain
95,Avarua,CK,2020-08-30 16:32:16,-21.21,-159.78,73.4,78,25,10.29,scattered clouds
96,Sorong,ID,2020-08-30 16:24:43,-0.88,131.25,77.68,86,37,8.66,scattered clouds
97,Mahebourg,MU,2020-08-30 16:32:16,-20.41,57.7,71.6,78,40,16.11,shower rain
98,Pevek,RU,2020-08-30 16:28:56,69.7,170.31,36.48,86,71,4.09,broken clouds
99,Lompoc,US,2020-08-30 16:32:17,34.64,-120.46,57.2,93,90,4.38,mist
100,Leningradskiy,RU,2020-08-30 16:24:43,69.38,178.42,35.53,91,100,10.2,overcast clouds
101,Georgetown,MY,2020-08-30 16:32:17,5.41,100.34,82.4,94,20,4.7,few clouds
102,Sao Miguel,BR,2020-08-30 16:24:44,-5.47,-35.37,84.2,58,40,16.11,scattered clouds
103,Ballina,AU,2020-08-30 16:24:44,-28.87,153.57,55.0,93,0,3.36,clear sky
104,Burriana,ES,2020-08-30 16:24:45,39.89,-0.09,77.0,42,0,1.99,clear sky
105,New Norfolk,AU,2020-08-30 16:32:18,-42.78,147.06,46.0,71,100,3.0,light rain
106,Cape Town,ZA,2020-08-30 16:32:18,-33.93,18.42,55.0,50,20,9.17,few clouds
107,Nanortalik,GL,2020-08-30 16:32:18,60.14,-45.24,48.15,75,100,8.9,overcast clouds
108,Nemuro,JP,2020-08-30 16:23:58,43.32,145.57,55.67,80,96,15.79,overcast clouds
109,Bluff,NZ,2020-08-30 16:32:19,-46.6,168.33,51.55,68,68,22.01,broken clouds
110,Podosinovets,RU,2020-08-30 16:24:45,60.28,47.07,54.52,97,100,5.06,moderate rain
111,Manado,ID,2020-08-30 16:24:46,1.49,124.85,75.2,94,20,2.24,few clouds
112,Abu Zabad,SD,2020-08-30 16:24:46,12.35,29.25,83.53,63,52,7.2,light rain
113,Qiyang,CN,2020-08-30 16:24:46,26.59,111.85,78.44,70,5,2.8,clear sky
114,Kinwat,IN,2020-08-30 16:24:46,19.63,78.2,77.9,83,0,4.32,clear sky
115,Barrow,US,2020-08-30 16:30:02,71.29,-156.79,39.2,86,90,9.17,overcast clouds
116,Thompson,CA,2020-08-30 16:31:02,55.74,-97.86,53.6,93,90,8.05,light rain
117,Hermanus,ZA,2020-08-30 16:32:20,-34.42,19.23,50.0,74,21,1.01,few clouds
118,Revda,RU,2020-08-30 16:24:47,56.8,59.93,69.8,68,40,6.71,scattered clouds
119,Sao Jose Da Coroa Grande,BR,2020-08-30 16:32:20,-8.9,-35.15,80.37,67,10,10.29,clear sky
120,Clyde River,CA,2020-08-30 16:32:20,70.47,-68.59,50.0,81,75,10.29,broken clouds
121,Macau,MO,2020-08-30 16:21:25,22.2,113.55,86.0,79,20,9.17,few clouds
122,Grindavik,IS,2020-08-30 16:24:47,63.84,-22.43,53.6,100,90,28.86,drizzle rain
123,Tuy Hoa,VN,2020-08-30 16:24:48,13.08,109.3,79.81,82,19,4.09,few clouds
124,Atambua,ID,2020-08-30 16:24:48,-9.11,124.89,69.66,86,28,6.2,scattered clouds
125,Bilibino,RU,2020-08-30 16:24:48,68.05,166.44,40.33,83,100,4.65,overcast clouds
126,Winnipeg,CA,2020-08-30 16:21:04,49.88,-97.15,71.01,56,90,17.22,overcast clouds
127,Pisco,PE,2020-08-30 16:32:21,-13.7,-76.22,63.0,82,90,6.93,overcast clouds
128,Hithadhoo,MV,2020-08-30 16:32:21,-0.6,73.08,81.91,76,12,13.62,few clouds
129,Taybad,IR,2020-08-30 16:24:48,34.74,60.78,74.91,20,0,16.17,clear sky
130,Benalla,AU,2020-08-30 16:24:49,-36.55,145.98,48.2,93,40,10.29,scattered clouds
131,Faanui,PF,2020-08-30 16:32:22,-16.48,-151.75,76.51,76,17,23.4,few clouds
132,Olafsvik,IS,2020-08-30 16:21:58,64.89,-23.71,52.95,93,100,24.45,moderate rain
133,Pampa,US,2020-08-30 16:24:49,35.54,-100.96,78.8,61,1,11.41,clear sky
134,Hofn,IS,2020-08-30 16:32:22,64.25,-15.21,53.6,93,90,9.17,mist
135,Zhigansk,RU,2020-08-30 16:24:49,66.77,123.37,48.33,96,99,11.21,moderate rain
136,Vammala,FI,2020-08-30 16:24:49,61.33,22.9,57.2,82,20,5.82,few clouds
137,Cedar City,US,2020-08-30 16:32:22,37.68,-113.06,78.8,14,1,11.41,clear sky
138,Germersheim,DE,2020-08-30 16:24:50,49.22,8.36,64.0,77,100,3.0,light rain
139,Nanga Eboko,CM,2020-08-30 16:24:50,4.68,12.37,74.91,94,99,1.45,light rain
140,Airai,TL,2020-08-30 16:32:23,-8.93,125.41,56.66,100,23,4.14,few clouds
141,Estelle,US,2020-08-30 16:24:51,29.85,-90.11,82.99,94,75,10.29,broken clouds
142,Krasnoselkup,RU,2020-08-30 16:24:51,65.7,82.47,50.9,85,100,9.98,overcast clouds
143,Kihei,US,2020-08-30 16:24:51,20.79,-156.47,77.0,73,40,14.99,scattered clouds
144,San Francisco,US,2020-08-30 16:24:22,37.77,-122.42,60.01,90,68,1.99,broken clouds
145,Port Alfred,ZA,2020-08-30 16:32:23,-33.59,26.89,52.52,67,29,12.46,scattered clouds
146,Maceio,BR,2020-08-30 16:23:47,-9.67,-35.74,82.4,58,75,6.93,broken clouds
147,Arraial Do Cabo,BR,2020-08-30 16:32:24,-22.97,-42.03,89.6,51,0,13.87,clear sky
148,Qaanaaq,GL,2020-08-30 16:32:24,77.48,-69.36,34.02,76,0,5.28,clear sky
149,Pangnirtung,CA,2020-08-30 16:32:25,66.15,-65.71,46.4,81,20,10.29,few clouds
150,Lavrentiya,RU,2020-08-30 16:32:25,65.58,-171.0,44.01,79,71,16.46,broken clouds
151,Solnechnyy,RU,2020-08-30 16:24:52,50.72,136.63,49.62,80,0,2.64,clear sky
152,Victoria,HK,2020-08-30 16:24:52,22.29,114.16,86.0,83,93,7.0,light rain
153,Fairbanks,US,2020-08-30 16:32:25,64.84,-147.72,52.0,87,75,2.98,broken clouds
154,Raton,US,2020-08-30 16:24:52,36.9,-104.44,70.0,68,1,5.82,clear sky
155,Campo Verde,BR,2020-08-30 16:24:53,-20.42,-54.07,93.2,18,0,13.87,clear sky
156,Nago,JP,2020-08-30 16:24:53,26.59,127.98,82.4,88,20,9.17,light intensity drizzle
157,Kathmandu,NP,2020-08-30 16:24:53,27.72,85.32,73.4,88,40,4.7,scattered clouds
158,Santa Cruz De La Palma,ES,2020-08-30 16:24:53,28.68,-17.76,77.0,61,75,17.22,broken clouds
159,Vestmannaeyjar,IS,2020-08-30 16:32:26,63.44,-20.27,51.8,100,90,16.11,drizzle rain
160,Haines Junction,CA,2020-08-30 16:24:54,60.75,-137.51,46.04,77,100,3.33,light rain
161,Halifax,CA,2020-08-30 16:21:30,44.65,-63.57,73.99,96,90,1.99,overcast clouds
162,Jalu,LY,2020-08-30 16:32:26,29.03,21.55,94.48,16,0,9.53,clear sky
163,Plettenberg Bay,ZA,2020-08-30 16:24:54,-34.05,23.37,51.39,66,51,9.53,broken clouds
164,Castro,BR,2020-08-30 16:32:27,-24.79,-50.01,80.31,40,0,6.6,clear sky
165,Paamiut,GL,2020-08-30 16:24:54,61.99,-49.67,47.3,73,100,1.9,overcast clouds
166,Mangrol,IN,2020-08-30 16:24:54,21.12,70.12,78.12,91,100,19.73,moderate rain
167,Shingu,JP,2020-08-30 16:24:55,33.73,135.98,76.3,83,0,3.18,clear sky
168,Cabo San Lucas,MX,2020-08-30 16:32:27,22.89,-109.91,84.2,94,40,4.7,scattered clouds
169,Tulun,RU,2020-08-30 16:24:55,54.56,100.58,51.6,87,52,2.8,broken clouds
170,Zihuatanejo,MX,2020-08-30 16:24:55,17.63,-101.55,78.8,83,75,11.41,broken clouds
171,Ohara,JP,2020-08-30 16:24:55,35.25,140.38,82.4,100,75,3.36,broken clouds
172,Ilulissat,GL,2020-08-30 16:31:16,69.22,-51.1,46.4,61,20,5.82,few clouds
173,Adrar,MR,2020-08-30 16:24:56,20.5,-10.07,101.79,8,30,12.57,scattered clouds
174,Cururupu,BR,2020-08-30 16:24:08,-1.83,-44.87,87.98,52,75,10.76,broken clouds
175,Tahe,CN,2020-08-30 16:24:56,52.33,124.73,51.91,96,100,2.59,light rain
176,Conde,BR,2020-08-30 16:32:28,-7.26,-34.91,84.2,58,20,14.99,few clouds
177,Port Lincoln,AU,2020-08-30 16:32:28,-34.73,135.87,51.39,65,31,6.8,scattered clouds
178,Preobrazheniye,RU,2020-08-30 16:32:28,42.9,133.91,57.61,81,27,14.18,scattered clouds
179,Khatanga,RU,2020-08-30 16:32:29,71.97,102.5,46.81,81,100,8.03,overcast clouds
180,Noumea,NC,2020-08-30 16:22:16,-22.28,166.46,69.01,82,20,9.73,few clouds
181,Smithers,CA,2020-08-30 16:24:57,54.78,-127.17,44.6,87,90,5.82,overcast clouds
182,Souillac,MU,2020-08-30 16:32:29,-20.52,57.52,71.6,78,40,16.11,shower rain
183,Edd,ER,2020-08-30 16:32:29,13.93,41.69,90.63,66,44,9.57,scattered clouds
184,Batagay,RU,2020-08-30 16:32:29,67.63,134.63,45.46,58,68,3.0,broken clouds
185,Magistralnyy,RU,2020-08-30 16:24:57,56.17,107.45,54.72,87,100,3.71,overcast clouds
186,Angoche,MZ,2020-08-30 16:23:24,-16.23,39.91,76.51,69,0,17.2,clear sky
187,Kaitangata,NZ,2020-08-30 16:32:30,-46.28,169.85,45.16,74,100,7.49,overcast clouds
188,Umuarama,BR,2020-08-30 16:24:57,-23.77,-53.33,83.39,49,0,9.46,clear sky
189,Severo-Kurilsk,RU,2020-08-30 16:32:30,50.68,156.12,49.33,88,28,15.19,scattered clouds
190,Manjacaze,MZ,2020-08-30 16:24:58,-24.71,33.88,66.25,84,81,12.46,broken clouds
191,Asau,RO,2020-08-30 16:32:30,46.43,26.4,77.0,61,0,4.59,light rain
192,Khorixas,NA,2020-08-30 16:24:58,-20.37,14.97,75.31,16,0,18.95,clear sky
193,Honiara,SB,2020-08-30 16:23:28,-9.43,159.95,75.2,94,20,2.24,few clouds
194,Villa Carlos Paz,AR,2020-08-30 16:24:58,-31.42,-64.5,57.0,40,25,5.82,scattered clouds
195,Hokitika,NZ,2020-08-30 16:24:59,-42.72,170.97,52.36,81,100,0.87,overcast clouds
196,Keetmanshoop,NA,2020-08-30 16:24:59,-26.58,18.13,57.61,26,13,6.11,few clouds
197,Lazaro Cardenas,MX,2020-08-30 16:24:59,17.96,-102.2,81.34,80,100,3.62,light rain
198,Warmbad,NA,2020-08-30 16:32:31,-28.45,18.73,48.18,41,30,6.11,scattered clouds
199,Dhidhdhoo,MV,2020-08-30 16:24:59,6.88,73.1,83.35,75,77,9.91,light rain
200,Muncar,ID,2020-08-30 16:24:59,-8.43,114.33,72.41,84,60,2.77,broken clouds
201,Naruto,JP,2020-08-30 16:25:00,34.18,134.62,82.4,83,40,2.24,scattered clouds
202,Coihaique,CL,2020-08-30 16:32:32,-45.58,-72.07,50.0,79,20,6.93,few clouds
203,Acajutla,SV,2020-08-30 16:25:00,13.59,-89.83,80.01,100,1,2.44,clear sky
204,Tornio,FI,2020-08-30 16:25:00,65.85,24.15,59.0,67,96,3.36,overcast clouds
205,Pacific Grove,US,2020-08-30 16:25:00,36.62,-121.92,60.8,77,90,1.72,overcast clouds
206,Lagoa,PT,2020-08-30 16:32:33,39.05,-27.98,75.09,93,31,12.1,scattered clouds
207,Srednekolymsk,RU,2020-08-30 16:32:33,67.45,153.68,37.63,86,15,5.77,few clouds
208,Nouadhibou,MR,2020-08-30 16:31:03,20.93,-17.03,80.6,65,0,20.8,sand
209,Tual,ID,2020-08-30 16:25:01,-5.67,132.75,77.81,81,96,16.04,light rain
210,Bathsheba,BB,2020-08-30 16:25:01,13.22,-59.52,87.8,74,40,16.11,scattered clouds
211,Taltal,CL,2020-08-30 16:25:01,-25.4,-70.48,60.49,60,22,5.44,few clouds
212,Port Blair,IN,2020-08-30 16:32:34,11.67,92.75,82.49,80,79,8.28,broken clouds
213,Paducah,US,2020-08-30 16:24:20,37.08,-88.6,73.4,88,90,3.89,moderate rain
214,Vardo,NO,2020-08-30 16:32:34,70.37,31.11,48.2,93,75,21.92,light intensity shower rain
215,Kurilsk,RU,2020-08-30 16:25:02,45.23,147.88,49.6,84,99,1.25,overcast clouds
216,Maua,BR,2020-08-30 16:23:59,-23.67,-46.46,87.01,28,0,11.41,clear sky
217,Kumluca,TR,2020-08-30 16:25:02,36.37,30.29,90.97,32,0,4.63,clear sky
218,Saldanha,ZA,2020-08-30 16:32:35,-33.01,17.94,53.6,54,0,6.93,clear sky
219,Port Macquarie,AU,2020-08-30 16:25:02,-31.43,152.92,50.0,93,75,5.3,broken clouds
